Name,Year,Certificate,Duration (min),Genre,Rating,Metascore,Vote,Boxoffice (Million $)
The Christmas Chronicles,(2018),TV-PG,104.0,"Adventure, Comedy, Family",7.1,52.0,34243.0,34192.0
How It Ends,(2018),TV-MA,113.0,"Action, Adventure, Drama",5.0,36.0,34192.0,33828.0
Mary Poppins Returns,(2018),PG,130.0,"Comedy, Family, Fantasy",7.2,66.0,33828.0,17093.0
A Wrinkle in Time,(2018),PG,109.0,"Adventure, Family, Fantasy",4.2,53.0,32886.0,10048.0
Adrift,(I) (2018),PG-13,96.0,"Action, Adventure, Biography",6.6,56.0,30521.0,3145.0
Truth or Dare,(I) (2018),PG-13,100.0,"Horror, Thriller",5.1,35.0,30456.0,4072.0
Peppermint,(2018),R,101.0,"Action, Crime, Drama",6.5,29.0,29832.0,3542.0
Set It Up,(2018),TV-14,105.0,"Comedy, Romance",6.5,62.0,29620.0,29186.0
Unsane,(2018),R,98.0,"Drama, Horror, Mystery",6.4,63.0,29186.0,773.0
Robin Hood,(I) (2018),PG-13,116.0,"Action, Adventure, Thriller",5.3,32.0,28740.0,3082.0
Leave No Trace,(2018),PG,109.0,Drama,7.2,88.0,28424.0,605.0
The House with a Clock in Its Walls,(2018),PG,105.0,"Comedy, Family, Fantasy",6.1,57.0,28312.0,6855.0
Anon,(I) (2018),TV-MA,100.0,"Sci-Fi, Thriller",6.1,54.0,26996.0,26822.0
The House That Jack Built,(2018),R,152.0,"Crime, Drama, Horror",7.0,42.0,26095.0,9.0
Hotel Artemis,(2018),R,94.0,"Action, Crime, Drama",6.1,58.0,26089.0,671.0
Peter Rabbit,(2018),PG,95.0,"Animation, Adventure, Comedy",6.6,51.0,26013.0,11525.0
Apostle,(2018),TV-MA,130.0,"Drama, Fantasy, Horror",6.3,62.0,25951.0,25877.0
Cold War,(2018),R,89.0,"Drama, Music, Romance",7.7,90.0,25877.0,410.0
Suspiria,(I) (2018),R,152.0,"Fantasy, Horror, Mystery",6.9,64.0,25838.0,247.0
American Animals,(2018),R,116.0,"Biography, Crime, Drama",7.0,68.0,25817.0,286.0
Hunter Killer,(2018),R,122.0,"Action, Thriller",6.6,43.0,25574.0,1577.0
The Grinch,(2018),PG,86.0,"Animation, Comedy, Family",6.3,51.0,24766.0,27060.0
Hold the Dark,(2018),TV-MA,125.0,"Adventure, Drama, Horror",5.6,63.0,24444.0,24127.0
Mute,(II) (2018),TV-MA,126.0,"Mystery, Sci-Fi, Thriller",5.4,35.0,24127.0,23712.0
