Name,Year,Certificate,Duration (min),Genre,Rating,Metascore,Vote,Boxoffice (Million $)
The Man Who Killed Hitler and Then The Bigfoot,(2018),Not Rated,98.0,"Adventure, Drama, Sci-Fi",5.6,50.0,2357.0,2345.0
Scorched Earth,(2018),R,96.0,"Action, Sci-Fi",4.6,32.0,2278.0,2276.0
We the Animals,(2018),R,94.0,Drama,6.9,84.0,2093.0,40.0
Piercing,(2018),R,81.0,"Horror, Thriller",5.7,63.0,2048.0,2.0
Dog Days,(I) (2018),PG,113.0,"Comedy, Drama",6.1,47.0,2043.0,681.0
Madeline's Madeline,(2018),Unrated,93.0,"Drama, Mystery, Thriller",6.4,76.0,2042.0,18.0
Werk ohne Autor,(2018),R,188.0,"Drama, History, Thriller",7.6,69.0,1994.0,47.0
An Evening with Beverly Luff Linn,(2018),R,108.0,"Comedy, Crime",5.7,54.0,1974.0,1.0
Le monde est à toi,(2018),TV-MA,94.0,"Comedy, Crime",6.5,73.0,1955.0,1952.0
River Runs Red,(2018),Not Rated,94.0,Thriller,5.0,26.0,1946.0,1946.0
Puppet Master: The Littlest Reich,(2018),Not Rated,90.0,"Comedy, Horror",5.4,52.0,1946.0,1943.0
Welcome Home,(I) (2018),R,97.0,Thriller,5.1,38.0,1928.0,1927.0
Skate Kitchen,(2018),R,106.0,Drama,6.8,72.0,1882.0,24.0
Slice,(2018),R,83.0,"Comedy, Crime, Fantasy",4.5,61.0,1830.0,1829.0
At First Light,(I) (2018),TV-14,90.0,"Drama, Sci-Fi, Thriller",5.5,49.0,1814.0,0.0
Boarding School,(2018),R,111.0,"Horror, Mystery",5.7,45.0,1796.0,1794.0
The Oath,(2018),R,93.0,"Comedy, Thriller",5.2,58.0,1764.0,40.0
Damsel,(I) (2018),R,113.0,"Comedy, Drama, Western",5.6,63.0,1753.0,31.0
La enfermedad del domingo,(2018),PG-13,113.0,Drama,7.0,92.0,1751.0,1745.0
The Devil's Doorway,(2018),Unrated,76.0,Horror,5.2,48.0,1713.0,1713.0
Duck Butter,(2018),Not Rated,93.0,"Comedy, Drama, Romance",5.3,58.0,1707.0,1.0
The Laws of Thermodynamics,(2018),TV-MA,100.0,Comedy,6.0,45.0,1686.0,1686.0
Arctic,(2018),PG-13,98.0,"Adventure, Drama",7.3,71.0,1685.0,105.0
Rust Creek,(2018),R,108.0,"Drama, Thriller",5.7,59.0,1678.0,1675.0
A Kid Like Jake,(2018),R,92.0,"Drama, Family",5.3,60.0,1555.0,4.0
Kursk,(2018),PG-13,117.0,"Action, Drama, History",6.7,53.0,1549.0,1548.0
The Bleeding Edge,(2018),TV-14,99.0,Documentary,7.7,74.0,1518.0,1514.0
Nancy,(2018),Not Rated,85.0,"Drama, Mystery, Thriller",6.2,67.0,1481.0,8.0
The Seagull,(I) (2018),PG-13,98.0,"Comedy, Drama, Romance",5.8,58.0,1479.0,125.0
First Match,(2018),TV-MA,102.0,"Drama, Sport",6.3,68.0,1470.0,1466.0
London Fields,(2018),R,118.0,"Crime, Mystery, Thriller",4.4,16.0,1459.0,25.0
Boundaries,(I) (2018),R,104.0,"Comedy, Drama",4.5,50.0,1432.0,70.0
14 Cameras,(2018),TV-MA,90.0,"Horror, Thriller",4.5,25.0,1425.0,1425.0
Come Sunday,(2018),TV-14,106.0,Drama,5.9,65.0,1424.0,1423.0
Lords of Chaos,(2018),R,118.0,"Biography, Drama, Horror",6.4,47.0,1363.0,17.0
Generation Wealth,(2018),R,105.0,Documentary,6.3,53.0,1354.0,24.0
Never Goin' Back,(2018),R,85.0,"Comedy, Crime, Drama",5.9,62.0,1318.0,6.0
The Rachel Divide,(2018),TV-MA,100.0,Documentary,6.2,59.0,1311.0,1308.0
High Life,(2018),R,110.0,"Adventure, Drama, Horror",6.7,81.0,1305.0,1303.0
Pope Francis: A Man of His Word,(2018),PG,96.0,"Documentary, Biography",5.8,63.0,1281.0,182.0
Unbroken: Path to Redemption,(2018),PG-13,98.0,"Biography, Drama",5.7,39.0,1184.0,622.0
Tang ren jie tan an 2,(2018),R,121.0,"Action, Comedy, Mystery",6.1,48.0,1170.0,198.0
What They Had,(2018),R,101.0,Drama,6.5,69.0,1169.0,26.0
Dovlatov,(2018),PG-13,126.0,"Biography, Drama",6.5,68.0,1165.0,1163.0
Speed Kills,(2018),R,102.0,"Action, Crime, Drama",4.0,19.0,1163.0,1161.0
Monster Party,(2018),Unrated,89.0,"Horror, Mystery, Thriller",5.3,58.0,1142.0,1141.0
Luis and His Friends from Outer Space,(2018),PG,86.0,"Animation, Adventure, Comedy",6.1,46.0,1120.0,15.0
BuyBust,(2018),Not Rated,127.0,"Action, Thriller",5.8,68.0,1098.0,18.0
Asher,(II) (2018),R,117.0,"Drama, Thriller",5.4,58.0,1093.0,1089.0
Soni,(2018),TV-MA,97.0,Drama,7.3,68.0,1063.0,1062.0
Sgt. Stubby: An American Hero,(2018),PG,84.0,"Animation, Adventure, Family",6.9,57.0,1053.0,314.0
The Long Dumb Road,(2018),R,90.0,Comedy,6.0,64.0,1037.0,0.0
Blaze,(2018),R,129.0,"Biography, Drama, Music",6.8,75.0,1033.0,7.0
Jane Fonda in Five Acts,(2018),TV-14,133.0,Documentary,7.9,87.0,1022.0,1022.0
Gongjak,(2018),Not Rated,137.0,Drama,7.2,69.0,1007.0,50.0
Oiktos,(2018),Not Rated,97.0,Drama,6.7,77.0,995.0,993.0
Monsters and Men,(2018),R,96.0,"Crime, Drama, Thriller",5.5,68.0,984.0,50.0
"Ruben Brandt, Collector",(2018),R,96.0,"Animation, Crime, Drama",7.9,78.0,973.0,2.0
Peterloo,(2018),PG-13,154.0,"Drama, History",6.5,70.0,959.0,958.0
Bigger,(2018),PG-13,107.0,"Biography, Drama",6.6,37.0,939.0,5.0
Pledge,(2018),Unrated,77.0,"Horror, Thriller",5.6,54.0,929.0,928.0
Andið eðlilega,(2018),TV-14,95.0,Drama,6.9,77.0,915.0,914.0
Xi you ji zhi nü er guo,(2018),Not Rated,114.0,"Action, Adventure, Fantasy",5.5,51.0,905.0,19.0
Tea with the Dames,(2018),Unrated,84.0,Documentary,7.4,85.0,864.0,87.0
The Party's Just Beginning,(2018),Not Rated,91.0,"Comedy, Drama",6.2,71.0,861.0,860.0
Double Lives,(2018),R,108.0,"Comedy, Drama, Romance",6.5,82.0,857.0,857.0
The Standoff at Sparrow Creek,(2018),Unrated,88.0,"Crime, Drama, Thriller",6.2,62.0,854.0,852.0
Where Hands Touch,(2018),PG-13,122.0,"Drama, Romance, War",5.5,45.0,851.0,7.0
Social Animals,(I) (2018),R,90.0,Comedy,5.2,37.0,850.0,849.0
Half Magic,(2018),R,94.0,"Comedy, Romance",4.6,49.0,828.0,827.0
Seeing Allred,(2018),TV-14,96.0,Documentary,6.7,68.0,804.0,803.0
"Love, Gilda",(2018),Not Rated,88.0,Documentary,7.4,74.0,800.0,63.0
Believer,(III) (2018),Not Rated,123.0,"Action, Crime",6.3,58.0,785.0,37.0
Ride,(III) (2018),Unrated,79.0,"Action, Thriller",4.4,45.0,776.0,775.0
Nostalgia,(I) (2018),R,114.0,Drama,5.4,47.0,705.0,11.0
Survivors Guide to Prison,(2018),TV-MA,102.0,Documentary,7.1,66.0,679.0,1.0
Dragged Across Concrete,(2018),R,159.0,"Action, Crime, Drama",8.2,58.0,667.0,666.0
All About Nina,(2018),R,97.0,"Comedy, Drama",5.6,70.0,662.0,10.0
Netemo sametemo,(2018),Not Rated,119.0,"Drama, Romance",6.5,62.0,652.0,652.0
Delirium,(II) (2018),TV-MA,86.0,"Horror, Thriller",3.2,27.0,625.0,624.0
Indivisible,(II) (2018),PG-13,119.0,"Drama, War",5.6,53.0,623.0,351.0
Don't Go,(I) (2018),Unrated,91.0,Mystery,5.1,45.0,601.0,600.0
Braid,(2018),R,82.0,"Horror, Mystery, Thriller",5.2,60.0,591.0,590.0
All the Devil's Men,(2018),R,99.0,Action,5.0,27.0,581.0,581.0
Bayou Caviar,(2018),TV-MA,111.0,"Crime, Drama, Mystery",5.4,36.0,575.0,574.0
The Escape of Prisoner 614,(2018),PG-13,97.0,"Action, Adventure, Comedy",4.5,31.0,574.0,574.0
Perfectos desconocidos,(2018),R,97.0,Comedy,6.7,63.0,571.0,571.0
Dark Money,(2018),TV-14,99.0,Documentary,7.1,72.0,567.0,21.0
The New Romantic,(2018),Not Rated,82.0,"Comedy, Drama, Romance",5.8,55.0,548.0,548.0
Blue Night,(2018),R,91.0,"Drama, Music, Romance",4.4,45.0,548.0,1.0
Untogether,(2018),R,98.0,Drama,6.0,46.0,535.0,534.0
Supercon,(2018),R,100.0,"Action, Comedy",3.7,9.0,532.0,340.0
Viking Destiny,(2018),R,91.0,"Action, Adventure, Fantasy",4.2,25.0,531.0,530.0
Measure of a Man,(2018),PG-13,100.0,"Comedy, Drama",6.2,53.0,523.0,522.0
Cruise,(2018),TV-MA,90.0,"Drama, Romance",5.1,46.0,511.0,510.0
Postcards from London,(2018),Not Rated,90.0,Drama,4.9,42.0,490.0,1.0
Pass Over,(2018),Not Rated,74.0,Drama,5.7,73.0,488.0,488.0
Little Women,(2018),PG-13,112.0,"Drama, Family",4.6,40.0,488.0,138.0
God Bless the Broken Road,(2018),PG,111.0,"Drama, Family, Romance",5.0,31.0,475.0,285.0
Ya Veremos,(2018),PG-13,85.0,Drama,5.5,25.0,474.0,417.0
Gueule d'ange,(2018),Not Rated,108.0,Drama,6.0,37.0,453.0,453.0
Snapshots,(2018),TV-MA,95.0,Drama,6.7,63.0,450.0,449.0
Tyrel,(2018),Not Rated,86.0,"Comedy, Drama",5.4,71.0,430.0,2.0
The Amityville Murders,(2018),Not Rated,97.0,Horror,4.9,35.0,422.0,421.0
The Price of Everything,(2018),TV-14,98.0,Documentary,7.1,76.0,393.0,9.0
Path of Blood,(2018),R,92.0,Documentary,6.9,63.0,367.0,367.0
King in the Wilderness,(2018),TV-14,111.0,Documentary,7.8,97.0,352.0,352.0
Kusama: Infinity,(2018),Unrated,76.0,Documentary,7.1,71.0,330.0,36.0
Stella's Last Weekend,(2018),Not Rated,102.0,"Comedy, Romance",6.3,60.0,320.0,0.0
Bad Reputation,(2018),R,93.0,"Documentary, Biography, Music",7.3,66.0,312.0,15.0
The Sentence,(2018),TV-PG,85.0,"Documentary, Crime",6.8,69.0,311.0,311.0
La chute de l'empire américain,(2018),R,127.0,Comedy,7.3,63.0,310.0,206.0
Hover,(2018),Not Rated,86.0,Sci-Fi,3.6,40.0,301.0,301.0
Viper Club,(2018),R,109.0,Drama,5.5,57.0,295.0,6.0
All Is True,(2018),PG-13,101.0,"Biography, Drama, History",5.7,56.0,294.0,294.0
An Acceptable Loss,(2018),R,102.0,"Drama, Thriller",4.9,40.0,293.0,3.0
Ophelia,(I) (2018),PG-13,114.0,"Drama, Romance",6.2,65.0,289.0,288.0
Hotel Mumbai,(2018),R,125.0,"Drama, History, Thriller",6.8,66.0,283.0,283.0
Donnybrook,(2018),R,101.0,Drama,6.0,53.0,276.0,1.0
La quietud,(2018),R,117.0,"Drama, Thriller",6.0,61.0,273.0,273.0
Blood Brother,(2018),R,90.0,"Action, Crime, Drama",4.9,18.0,272.0,272.0
Her Smell,(2018),R,134.0,"Drama, Music",6.3,63.0,258.0,258.0
Science Fair,(I) (2018),PG,90.0,Documentary,7.8,79.0,257.0,28.0
Bathtubs Over Broadway,(2018),PG-13,87.0,"Documentary, Comedy",7.8,78.0,254.0,253.0
The World Before Your Feet,(2018),PG-13,95.0,Documentary,8.0,78.0,250.0,25.0
Elliot the Littlest Reindeer,(2018),PG,89.0,"Animation, Family",5.1,38.0,248.0,248.0
Say Her Name: The Life and Death of Sandra Bland,(2018),TV-MA,105.0,Documentary,6.3,76.0,237.0,237.0
All These Small Moments,(2018),Not Rated,100.0,Drama,5.4,60.0,236.0,235.0
Pandas,(2018),G,40.0,Documentary,7.4,82.0,229.0,289.0
Unlovable,(2018),Not Rated,80.0,"Comedy, Drama, Music",5.7,77.0,229.0,229.0
The Oslo Diaries,(2018),TV-14,97.0,Documentary,7.1,70.0,227.0,227.0
Greta,(2018),R,98.0,"Drama, Horror, Mystery",6.3,57.0,226.0,225.0
In Like Flynn,(2018),R,106.0,"Action, Adventure",5.2,66.0,224.0,1.0
